ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,0,21,21,20,,,,,,,,,,,,183.37649299277177,183.4758058360535,183.47581898522992,1.0721083697164167,184.54916958140075,184.54918401342377,270.24585207625495,270.24585207625495,185.63307158988937,f,1,1.0371944786331824,None,185.63361615822112,271.31160308986404,186.13834569249013,186.13835755882008,186.1392709455156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,22,22,40,,,,,,,,,,,,186.13979723328498,186.14058939098788,186.14060029518294,0.8584537096078106,186.99711808537734,186.99713347953514,272.6937518320652,272.6937518320652,188.41414934770467,j,1,1.3729837146531736,None,188.41475902049535,,188.41552359699892,188.4155335390592,188.41617688657004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,23,23,8,,,,,,,,,,,,188.41668072452603,188.4173846865333,188.41739527001675,0.9262426208969573,189.35325807728248,189.3532715471706,275.05006661180363,275.05006661180363,190.58599433110146,f,0,1.192846411594246,None,190.5865241466986,276.26565184957605,191.09240888422505,191.092420750555,191.09321868106701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,freq_top,0,24,24,18,,,,,,,,,,,,191.09374913808756,191.0945461064647,191.09455701065986,0.732519340435548,191.82612427062156,191.8261374197981,277.52293056016134,277.52293056016134,192.8759965311831,f,1,1.007665276878015,None,192.8764978034461,,192.87724121298265,192.87725083433133,192.87773735385974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,25,25,4,,,,,,,,,,,,192.878220666272,192.8791879325197,192.87919851600316,1.0728146252157527,193.95752751866064,193.95754098854866,279.6544191174914,279.6544191174914,195.01702305210983,j,1,1.0203779648070395,None,195.0175810903297,,195.01762374497525,195.01763272490064,195.01802238951961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,26,26,9,,,,,,,,,,,,195.0185342452661,195.1066122397666,195.106627954636,0.7934089477592883,195.90593111242674,195.90594458231487,281.6027329120038,281.6027329120038,196.78968277130764,j,1,0.8481596730838419,None,196.7902347160067,,196.79027672922894,196.79028570915432,196.79075811737152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,27,27,38,,,,,,,,,,,,196.79127093525278,196.93098831134432,196.93100338479042,1.0804926738150171,198.01246092930683,198.01247407848325,283.7092810094462,283.7092810094462,198.94590685379978,j,1,0.8848423475365053,None,198.9464761169263,,198.94651331947432,198.94652165797652,198.9468725164894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,28,28,44,,,,,,,,,,,,198.947336906916,198.96994354834055,198.9699547732473,1.0583179149321909,200.02732815790307,200.0273413070795,285.72418576130207,285.72418576130207,201.04461355211856,f,1,0.9820574161079776,None,201.04516549681762,,201.04520398221212,201.04521296213738,201.0457001230891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,freq_top,0,29,29,0,,,,,,,,,,,,201.04618568048272,201.24357309947902,201.24358721079034,0.7315575002968417,201.97574009017126,201.97575388077098,287.6725264955906,287.6725264955906,203.77510354174672,f,0,1.7533826542523911,None,203.7756070589911,289.45431591249195,204.28108288920123,204.28109379339628,204.28206426676024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,30,30,10,,,,,,,,,,,,204.28259023381804,204.28345326878912,204.28346513511906,0.9048200041343157,205.18991900748733,205.18993183595217,290.8864459572056,290.8864459572056,206.08952344177453,f,1,0.8596988771930683,None,206.09008661138023,,206.09079442192694,206.09080372256392,245.97167346682204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
