ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,9,9,40,,,,,,,,,,,,361.0391503552213,367.1730036279015,367.1730170978327,0.9545424150538402,368.1301852821116,368.13019778990497,519.0013495588278,519.0013495588278,369.8799367298086,j,1,1.712456585236339,None,369.88047552705916,369.88051433328974,369.88052299253127,369.8809094512735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,freq_top,0,10,10,12,,,,,,,,,,,,369.88142002581094,370.2208917992492,370.2209046277552,0.7965997047991096,371.0192267233173,371.01923923111065,521.8905382071393,521.8905382071393,372.6189160810453,f,1,1.5585376049487536,None,372.61945455758325,372.6194940052392,372.6195026644807,372.6199827713165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
90,0,0,12,0,0,0,12,0,0,j,present,resp,freq_top,0,11,11,34,,,,,,,,,,,,372.6204625574396,374.6832625841229,374.6832760540542,0.9499583566645637,375.6322990991823,375.6323119276883,526.503256195527,526.503256195527,377.3324122466049,j,1,1.6501879794128058,None,377.3329494402923,377.33298792581013,377.3329969057644,377.333497217497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,12,12,32,,,,,,,,,,,,377.33397700362013,377.813720792699,377.81373362120496,0.7341450201583367,378.5549736759058,378.55498618369904,529.425737382523,529.425737382523,380.0057115715689,j,1,1.4149308191821888,None,380.00624170957803,380.0062821193718,380.00629109932595,380.00678467609305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,13,13,24,,,,,,,,,,,,380.00728498782576,380.56148927408617,380.5615024233048,1.0562980847934877,381.61854694078613,381.6185594485795,532.4897750393193,532.4897750393193,384.63221314819236,None,1,,,384.6326489966825,384.63268876505106,384.6326980657178,384.6334738696162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,14,14,17,,,,,,,,,,,,384.6339632771188,384.8661579522626,384.86617046005586,0.7968522208673274,385.66475105001314,385.6647635578065,536.5363126897016,536.5363126897016,387.38191680970453,f,1,1.6804889105057441,None,387.38242738424196,387.38246651118516,387.3824754911393,387.38294501445773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,15,15,4,,,,,,,,,,,,387.38343602552357,387.9222570088542,387.9222701580728,0.9818252639797568,388.9041540626596,388.90416657045284,539.7751852436261,539.7751852436261,390.1047951031027,j,1,1.160873804170194,None,390.1053377489051,390.10537655513565,390.1053852143772,390.1058893746616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,16,16,36,,,,,,,,,,,,390.1063662743709,390.51956603730014,390.51957918651874,1.087473373220508,391.6097812226592,391.60979340973984,542.4812171429892,542.4812171429892,393.19366201248465,j,1,1.5430497496952853,None,393.19417675628654,393.1942152418045,393.19422454247126,393.19458213707514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,17,17,31,,,,,,,,,,,,393.19507282742836,393.50064334957415,393.5006558573675,0.8865238813110826,394.3908842560877,394.3908967638811,545.2621755350128,545.2621755350128,397.4045414835397,None,1,,,397.4049475057535,397.40498887768535,397.40499881977746,397.40575377735354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,18,18,43,,,,,,,,,,,,397.40626723830485,397.75485879663484,397.7548716251408,0.7602301481453633,398.52108140456744,398.5210942330734,549.3919631334395,549.3919631334395,400.20357940973474,f,1,1.6399088182944865,None,400.2041217348245,400.2041608617677,400.20416984172186,400.2046541178221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
