ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,response_2.rt,response_2.duration,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,text_feedback_2.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
180,0,168,180,168,0,180,180,0,180,f,abs,resp,freq_top,,,,,0,853,853,847,,,,,,,,,,,0.8071278942418025,,,,,,,,,,,,,,,,,,,,,,4906.667502879224,4906.915731967682,4906.915745758456,4907.722535436672,4907.722549548159,5088.473516104896,5088.473516104896,4909.671934207113,f,1,1.9065913855019971,None,4909.672517268132,,4909.672556074723,4909.6725650547605,4909.673178583765,5089.963918208534,5089.963918208534,5089.963918208534,5089.963918208534,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,180,168,0,180,168,180,0,180,180,f,abs,resp,freq_top,,,,,0,854,854,788,,,,,,,,,,,0.9807755055795739,,,,,,,,,,,,,,,,,,,,,,4909.673678900151,4909.887002582081,4909.887016052137,4910.869208637386,4910.869223069588,5091.61252516415,5091.61252516415,4911.770084094846,f,1,0.8632457056837666,None,4911.770667797296,,4911.770706603888,4911.770715583924,4911.771173886563,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
270,0,180,0,180,12,0,-168,0,0,None,present,inhibit,freq_top,,,,,0,855,855,292,,,,,,,,,,,0.9856337753251905,,,,,,,,,,,,,,,,,,,,,,4911.7716485456995,4912.002658411874,4912.002672202646,4912.992671327092,4912.992693777186,5093.73573577137,5093.73573577137,4916.024096327582,None,1,,,4916.024490487093,,4916.024528010822,4916.024536670145,4916.025118448301,5095.234440882006,5095.234440882006,5095.234440882006,5095.234440882006,5096.708192712891,5096.708192712891,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,270,180,180,180,-168,0,12,0,0,None,present,inhibit,freq_top,,,,,0,856,856,236,,,,,,,,,,,0.834428256725745,,,,,,,,,,,,,,,,,,,,,,4916.025605936061,4916.0263307533905,4916.026348713464,4916.864219905729,4916.8642343379315,5097.607395959047,5097.607395959047,4919.895802698308,None,1,,,4919.896182104901,,4919.896219628631,4919.896228608669,4919.896850796994,5099.10615559134,5099.10615559134,5099.10615559134,5099.10615559134,5100.5799103086665,5100.5799103086665,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,270,0,-168,180,180,180,-12,0,0,None,present,inhibit,freq_top,,,,,0,857,857,296,,,,,,,,,,,0.7510993994142937,,,,,,,,,,,,,,,,,,,,,,4919.8973440576365,4921.4273327331675,4921.427347165371,4922.185008660926,4922.185022772413,5102.936244298076,5102.936244298076,4925.224721594778,None,1,,,4925.225142373686,,4925.225181180279,4925.225190481032,4925.2257475640845,5104.42660342582,5104.42660342582,5104.42660342582,5104.42660342582,5105.9003796310935,5105.9003796310935,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,180,0,270,180,0,180,12,0,12,j,present,resp,freq_top,,,,,0,858,858,579,,,,,,,,,,,0.7480562388562616,,,,,,,,,,,,,,,,,,,,,,4925.22623024111,4926.265451517899,4926.265466270818,4927.013953375003,4927.01396748649,5107.757123976155,5107.757123976155,4927.922878474113,j,1,0.8626199894852107,None,4927.92338456338,,4927.923422728539,4927.923431708577,4927.923953833627,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,180,168,0,0,180,180,12,180,180,None,present,inhibit,freq_top,,,,,0,859,859,33,,,,,,,,,,,0.9284555912192998,,,,,,,,,,,,,,,,,,,,,,4927.924432662066,4928.155713853664,4928.155727644437,4929.087592891273,4929.0876066820465,5109.838697676447,5109.838697676447,4932.127035141132,None,1,,,4932.1274222449,,4932.127461692923,4932.127470672961,4932.128233976165,5111.320790358775,5111.320790358775,5111.320790358775,5111.320790358775,5112.8111757852,5112.8111757852,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,180,168,0,0,180,180,12,180,180,None,present,inhibit,freq_top,,,,,0,860,860,34,,,,,,,,,,,0.8195586146014706,,,,,,,,,,,,,,,,,,,,,,4932.1286996552635,4932.129477069954,4932.129487012139,4932.9510100457765,4932.951023836548,5113.702093984433,5113.702093984433,4935.990348063054,None,1,,,4935.990711433865,,4935.990748316163,4935.990757296201,4935.991355110139,5115.192497050219,5115.192497050219,5115.192497050219,5115.192497050219,5116.666241183928,5116.666241183928,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
-168,180,90,180,-168,180,0,180,0,180,f,present,resp,freq_top,,,,,0,861,861,514,,,,,,,,,,,0.9511380448594603,,,,,,,,,,,,,,,,,,,,,,4935.99184612577,4936.240123642291,4936.240137753778,4937.196999897692,4937.197014009179,5117.940164084532,5117.940164084532,4938.463825682074,f,1,1.222567161207735,None,4938.464342996388,,4938.464382444411,4938.464391424449,4938.465092188105,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,90,180,180,180,180,-12,180,12,0,j,present,resp,freq_top,,,,,0,862,862,621,,,,,,,,,,,0.8208050222983163,,,,,,,,,,,,,,,,,,,,,,4938.465592183776,4938.754559213246,4938.754573004017,4939.578520647833,4939.578534438605,5120.329792846565,5120.329792846565,4940.469716586803,j,1,0.833664499364204,None,4940.470221713923,,4940.470260520516,4940.4702695005535,4940.470851599425,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
