ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
180,180,0,180,12,0,0,12,0,90,j,present,resp,freq_bottom,,,,,0,983,983,565,,,,,,,,,,,0.9648739404972874,,,,,,,,,,,,,,,,,,,,,3333.566727646161,3333.8716409428125,3333.871654733757,3334.8370773075476,3334.8370910984922,3381.923013494601,3381.923013494601,,,,,3335.8050505646606,j,1,0.9252646071654453,None,3335.8055435107526,3335.8055823178292,3335.8055906565387,3335.806060190098,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,180,180,168,180,180,168,0,180,0,f,abs,resp,freq_bottom,,,,,0,984,984,821,,,,,,,,,,,0.7243966708820297,,,,,,,,,,,,,,,,,,,,,3335.806524271422,3336.045116594418,3336.0451300646455,3336.7687014831354,3336.768714953363,3383.854743186952,3383.854743186952,,,,,3337.5359427297335,f,1,0.7216236694803229,None,3337.536446580296,3337.5364972539974,3337.536506234148,3337.536961656042,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,90,180,180,180,-12,180,-168,0,None,present,inhibit,freq_bottom,,,,,0,985,985,6,,,,,,,,,,,1.0464577835182132,,,,,,,,,,,,,,,,,,,,,3337.537442735509,3337.744191767255,3337.744205237479,3338.7920793793965,3338.7920928496205,3385.8780373753834,3385.8780373753834,3387.3684507445178,3387.3684507445178,3387.3684507445178,3387.3684507445178,3341.8232619881783,None,1,,,3341.8236276085736,3341.823665453492,3341.823674112922,3341.8242167705575,3388.858868924446,3388.858868924446,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,-168,0,180,180,180,168,180,0,180,f,abs,resp,freq_bottom,,,,,0,986,986,810,,,,,,,,,,,1.0711630370396867,,,,,,,,,,,,,,,,,,,,,3341.8247077923334,3342.0903483271904,3342.090361155977,3343.163849251505,3343.1638630424495,3390.249379407491,3390.249379407491,,,,,3344.1969680447764,f,1,0.9839197398941906,None,3344.197507495217,3344.1975463022936,3344.1975552824442,3344.19792122356,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
12,180,180,168,180,270,180,0,0,0,None,present,inhibit,freq_bottom,,,,,0,987,987,69,,,,,,,,,,,1.0662019395858928,,,,,,,,,,,,,,,,,,,,,3344.198391398557,3344.421386163129,3344.421399633353,3345.487117974797,3345.4871317657417,3392.5724364558155,3392.5724364558155,3394.0628584843835,3394.0628584843835,3394.0628584843835,3394.0628584843835,3348.517681273952,None,1,,,3348.518054912336,3348.5180930779716,3348.5181017374016,3348.518580571832,3395.553264476963,3395.553264476963,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,-12,180,0,180,90,180,180,-168,0,None,present,inhibit,freq_bottom,,,,,0,988,988,131,,,,,,,,,,,0.7384428498253561,,,,,,,,,,,,,,,,,,,,,3348.5190561990603,3348.8094017680633,3348.8094152382873,3349.550223092585,3349.55023720425,3396.635700329829,3396.635700329829,3398.1261162647206,3398.1261162647206,3398.1261162647206,3398.1261162647206,3352.581601019632,None,1,,,3352.5821404700728,3352.5821975581675,3352.582206538318,3352.5826462449513,3399.616529954572,3399.616529954572,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,90,180,180,180,12,0,0,-168,0,None,present,inhibit,freq_bottom,,,,,0,989,989,11,,,,,,,,,,,0.7605763527075997,,,,,,,,,,,,,,,,,,,,,3352.5831433604,3352.823435818227,3352.823449609172,3353.587962814483,3353.5879766054277,3400.6739788607265,3400.6739788607265,3402.164396719938,3402.164396719938,3402.164396719938,3402.164396719938,3356.619711814157,None,1,,,3356.6200844903833,3356.6201313154525,3356.6201399748825,3356.6206800667605,3403.654812654826,3403.654812654826,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,168,180,168,180,0,180,0,180,180,f,abs,resp,freq_bottom,,,,,0,990,990,835,,,,,,,,,,,1.0402469055196277,,,,,,,,,,,,,,,,,,,,,3356.6211710885364,3357.6349610710495,3357.634975824152,3358.675745384524,3358.6757591754686,3405.761392923898,3405.761392923898,,,,,3359.5094233845666,f,1,0.7988369236700237,None,3359.5099086333867,3359.5099471197464,3359.5099557791764,3359.5104397451178,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,168,0,0,12,90,0,180,180,180,None,present,inhibit,freq_bottom,,,,,0,991,991,163,,,,,,,,,,,1.0781264819282856,,,,,,,,,,,,,,,,,,,,,3359.510900619247,3359.899955676545,3359.8999701089306,3360.9818687563893,3360.981882547334,3408.0677898696194,3408.0677898696194,3409.5582311413636,3409.5582311413636,3409.5582311413636,3409.5582311413636,3364.0132380240066,None,1,,,3364.013618718225,3364.013657525302,3364.013666184732,3364.0142158982017,3411.048632643873,3411.048632643873,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,0,0,168,0,168,0,0,0,f,abs,resp,freq_bottom,,,,,0,992,992,934,,,,,,,,,,,1.0971158965363939,,,,,,,,,,,,,,,,,,,,,3364.0147088442936,3364.1882316416886,3364.1882451119127,3365.286862553672,3365.286877306775,3412.372517790318,3412.372517790318,,,,,3366.0791946601457,f,1,0.7468896422797116,None,3366.0797030007816,3366.079742128579,3366.079750788009,3366.080196267594,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,0,0,0,0,12,0,270,168,None,present,inhibit,freq_bottom,,,,,0,993,993,268,,,,,,,,,,,1.0911138938389209,,,,,,,,,,,,,,,,,,,,,3366.0806783092194,3366.3612265345473,3366.3612400047714,3367.4518352860905,3367.4518487563146,3414.5373686492712,3414.5373686492712,3416.0277954886296,3416.0277954886296,3416.0277954886296,3416.0277954886296,3370.482935469925,None,1,,,3370.483337010919,3370.483376780154,3370.483385439584,3370.4839409260094,3417.5182062920067,3417.5182062920067,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,180,12,180,90,180,180,180,-12,j,present,resp,freq_bottom,,,,,0,994,994,498,,,,,,,,,,,0.9733596678255056,,,,,,,,,,,,,,,,,,,,,3370.484428419866,3370.790499514431,3370.790513626096,3371.7643121140936,3371.764326225759,3418.850432714942,3418.850432714942,,,,,3373.031597299283,j,1,1.2287580779520795,None,3373.03209762193,3373.0321364290066,3373.032155672183,3373.032618791349,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
168,0,168,0,0,0,0,0,0,0,f,abs,resp,freq_bottom,,,,,0,995,995,975,,,,,,,,,,,0.9119017310578373,,,,,,,,,,,,,,,,,,,,,3373.033091211386,3373.264231934183,3373.2642457251277,3374.1798765742533,3374.179891968797,3421.273404195268,3421.273404195268,,,,,3374.921792514917,f,1,0.6939272832205461,None,3374.9222960447587,3374.922335493273,3374.9223444734234,3374.9230272855457,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,0,168,180,168,0,0,0,0,f,abs,resp,freq_bottom,,,,,0,996,996,842,,,,,,,,,,,0.8795865260110944,,,,,,,,,,,,,,,,,,,,,3374.9235038749357,3375.1368539583855,3375.136877691639,3376.019007128958,3376.0190209199027,3423.105207268276,3423.105207268276,,,,,3376.7699686464475,f,1,0.7018788853456499,None,3376.7704721762893,3376.7705122662446,3376.770521246395,3376.770898412695,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
168,180,0,168,180,180,180,90,180,180,f,present,resp,freq_bottom,,,,,0,997,997,489,,,,,,,,,,,1.0665936561793363,,,,,,,,,,,,,,,,,,,,,3376.771375002085,3376.9609568734704,3376.960970664415,3378.0263804735623,3378.0263939437864,3425.111848409935,3425.111848409935,,,,,3378.6594816914003,f,1,0.5840852953770082,None,3378.6599983707456,3378.6600381399803,3378.6600467994103,3378.6606173596556,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,180,180,180,12,0,-168,0,90,0,None,present,inhibit,freq_bottom,,,,,0,998,998,147,,,,,,,,,,,1.0714940943439477,,,,,,,,,,,,,,,,,,,,,3378.6611093435895,3378.8764639248147,3378.876477395039,3379.9494318130783,3379.949445604023,3427.0352422780343,3427.0352422780343,3428.533981208395,3428.533981208395,3428.533981208395,3428.533981208395,3382.980935782947,None,1,,,3382.9813132699674,3382.981352718485,3382.9813610571946,3382.9818847923743,3430.0077489073083,3430.0077489073083,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,180,180,168,180,180,180,0,168,180,f,abs,resp,freq_bottom,,,,,0,999,999,817,,,,,,,,,,,0.8364387910204916,,,,,,,,,,,,,,,,,,,,,3382.9823690790363,3383.1729208066245,3383.1729342768485,3384.0127713769252,3384.01278516787,3431.1068278646344,3431.1068278646344,,,,,3384.9875114977986,f,1,0.9245487609186966,None,3384.988078850849,3384.988117016488,3384.9881253551976,3384.9885701933417,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,0,180,-168,0,0,90,0,12,None,present,inhibit,freq_bottom,,,,,0,1000,1000,311,,,,,,,,,,,1.0999007991614356,,,,,,,,,,,,,,,,,,,,,3384.98904998993,3385.2120749021487,3385.212088372373,3386.3106307657363,3386.3106448774015,3433.396589403168,3433.396589403168,3434.886982246244,3434.886982246244,3434.886982246244,3434.886982246244,3389.3419374930236,None,1,,,3389.3423326196244,3389.3423717474216,3389.3423804068516,3389.3429156879392,3436.3774145378375,3436.3774145378375,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,12,180,0,180,270,180,180,180,168,None,present,inhibit,freq_bottom,,,,,0,1001,1001,118,,,,,,,,,,,0.8447039655783806,,,,,,,,,,,,,,,,,,,,,3389.3434105583474,3389.34446219806,3389.3444721403685,3390.191124212153,3390.191138003098,3437.2766694419624,3437.2766694419624,3438.7670853768504,3438.7670853768504,3438.7670853768504,3438.7670853768504,3393.221977121142,None,1,,,3393.2223504388094,3393.222393094522,3393.222401753952,3393.2229036801946,3440.2575064432567,3440.2575064432567,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,180,0,0,168,180,180,0,-168,180,f,abs,resp,freq_bottom,,,,,0,1002,1002,920,,,,,,,,,,,1.0537460293201377,,,,,,,,,,,,,,,,,,,,,3393.2233860425367,3393.2241384508234,3393.2241490345696,3394.2790655384197,3394.279087347353,3441.3649061510187,3441.3649061510187,,,,,3395.429019932086,f,1,1.1136296682234388,None,3395.429537573589,3395.429577342824,3395.4295863229745,3395.4300433484677,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,168,180,0,180,180,180,180,168,180,f,abs,resp,freq_bottom,,,,,0,1003,1003,855,,,,,,,,,,,0.7679484535879847,,,,,,,,,,,,,,,,,,,,,3395.4305327666443,3395.6283773382056,3395.6283904877127,3396.402028808323,3396.402042278547,3443.4964538029017,3443.4964538029017,,,,,3397.128506267505,f,1,0.6786889307986712,None,3397.129021663972,3397.1290614332065,3397.129070413357,3397.1297660542623,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,180,-168,0,0,270,0,0,12,180,None,present,inhibit,freq_bottom,,,,,0,1004,1004,289,,,,,,,,,,,0.85472108225948,,,,,,,,,,,,,,,,,,,,,3397.1302413607737,3397.3518281661127,3397.3518419570573,3398.2093269762445,3398.2093404464686,3445.303281475106,3445.303281475106,3446.7936945235197,3446.7936945235197,3446.7936945235197,3446.7936945235197,3401.2492184062285,None,1,,,3401.2496135328292,3401.249652339906,3401.249660999336,3401.250324888999,3448.2674760133777,3448.2674760133777,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
