ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,0,19,19,25,,,,,,,,,,,,197.2952780716805,197.6596187268442,197.65963251761423,1.0489239356509175,198.70857949594574,198.70859392814964,621.9060681642586,621.9060681642586,201.721967770005,None,1,,,201.72232793365765,201.722385021043,201.72239464251106,201.72365056492708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,20,20,28,,,,,,,,,,,,201.72413869411685,202.48072034013967,202.4807338101964,0.7250986304511257,203.2045681451782,203.20458161523493,626.4022643165081,626.4022643165081,206.20982050508246,None,1,,,206.21024930188287,206.21028971205305,206.2102993335211,206.2121344683692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,21,21,40,,,,,,,,,,,,206.21264280264586,206.44385311608858,206.44386594471507,0.9455742966610867,207.39280545037036,207.39281827899686,630.5903531303629,630.5903531303629,208.49245532511486,j,1,1.0559897247585468,None,208.4929777708785,208.49302010534302,208.49302940609778,208.49349829235143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,22,22,44,,,,,,,,,,,,208.49399860873746,208.7090307428407,208.70904453361072,0.8208610350457065,209.5330207211191,209.5330338704589,632.7302207453649,632.7302207453649,210.4824021729146,f,1,0.9006042839027941,None,210.48291371434607,210.48295508666342,210.48296406670124,210.48348266387984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,23,23,9,,,,,,,,,,,,210.48396213374872,210.73974183033351,210.73975562110354,0.9270695159943778,211.67281360937704,211.67282707943377,634.8700614202535,634.8700614202535,212.52260932955323,j,1,0.8082032238708052,None,212.5231433210829,212.52318341053615,212.52319206985703,212.5236535796539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,24,24,10,,,,,,,,,,,,212.52414780243998,212.7641303298551,212.76414379991184,0.8273563259374903,213.59587008066592,213.59588387143594,636.793419043519,636.793419043519,214.345817723839,f,1,0.708490488865209,None,214.34634369747437,214.34638442835785,214.34639308768237,214.34684497600756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,25,25,43,,,,,,,,,,,,214.3473254080236,214.579142836159,214.57915598550244,0.8297956595618801,215.4110188911145,215.411031719741,638.6085678539675,638.6085678539675,216.61929001897806,f,1,1.1650817884255957,None,216.61985383705905,216.61989456794254,216.61990322726706,216.62036345419983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,90,180,12,0,180,180,12,180,j,present,resp,freq_top,0,26,26,41,,,,,,,,,,,,216.62084388621588,216.9186164840794,216.9186296334192,0.7539979167855322,217.67524303028767,217.6752565003444,640.8732984031267,640.8732984031267,218.92525690123875,f,0,1.2040894685997046,None,218.92578159201366,219.43162230474627,219.4316328883615,219.43287918930946,642.1055808689307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,freq_top,0,27,27,7,,,,,,,,,,,,219.43341510512982,219.43411586878574,219.43412581097073,0.7449220659240676,220.18205679424864,220.18206994359207,643.3794880544665,643.3794880544665,221.14879024460242,j,1,0.9225335359551536,None,221.14927067661847,221.15001024686717,221.15002018904852,221.15061158867684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,0,28,28,20,,,,,,,,,,,,221.15109907643637,221.41410513764276,221.41411828698256,0.7882234781749957,222.20500977060146,222.2050232406582,645.4027838758302,645.4027838758302,223.10514565781705,f,1,0.8505059364506451,None,223.10571428663025,223.10575886610604,223.10576784614386,223.1063412856929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
