ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
0,0,-168,180,180,12,180,180,180,180,None,abs,inhibit,freq_bottom,,,,,0,460,460,454,,,1.0049429100353524,,,,,,,,,,2544.7020241001237,None,2544.7020241001237,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,-168,0,180,0,0,-168,0,270,0,f,present,resp,freq_bottom,,,,,0,461,461,810,,,1.0725065229656383,,,,,,,,,,2596.5865263034602,None,2596.5865263034602,None,f,1,None,None,2.0887744925685183,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,168,180,12,180,180,180,180,0,0,None,abs,inhibit,freq_bottom,,,,,0,462,462,441,,,0.7452144474244946,,,,,,,,,,2599.611083123121,None,2599.611083123121,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,270,-168,0,168,0,180,0,0,f,present,resp,freq_bottom,,,,,0,463,463,895,,,0.7269483675839278,,,,,,,,,,2603.3413357183317,None,2603.3413357183317,None,f,1,None,None,1.9099855719478,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,0,-168,180,12,180,270,180,None,present,inhibit,freq_bottom,,,,,0,464,464,972,,,0.7961170581634199,,,,,,,,,,2606.577343794569,None,2606.577343794569,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,12,180,180,180,270,180,168,None,present,inhibit,freq_bottom,,,,,0,465,465,933,,,0.705879825367981,,,,,,,,,,2610.578140068802,None,2610.578140068802,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,-12,0,0,180,180,180,0,168,None,abs,inhibit,freq_bottom,,,,,0,466,466,498,,,0.9698984550757278,,,,,,,,,,2614.5674392659794,None,2614.5674392659794,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,12,180,180,0,180,168,0,180,None,abs,inhibit,freq_bottom,,,,,0,467,467,472,,,0.8008812172801054,,,,,,,,,,2618.379292161105,None,2618.379292161105,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,180,180,168,180,180,180,0,0,0,None,abs,inhibit,freq_bottom,,,,,0,468,468,456,,,0.8795877422829772,,,,,,,,,,2622.274612586022,None,2622.274612586022,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,168,0,0,0,-168,180,180,0,f,abs,resp,freq_bottom,,,,,0,469,469,383,,,1.0058594282545308,,,,,,,,,,2626.3811705593444,None,2626.3811705593444,None,f,1,None,None,1.1734859367306854,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,-12,0,-12,0,0,270,180,180,180,j,present,resp,freq_bottom,,,,,0,470,470,609,,,0.9096315352383243,,,,,,,,,,2628.523261440253,None,2628.523261440253,None,j,1,None,None,0.9674827292956252,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,90,0,180,0,180,-12,180,180,-12,j,present,resp,freq_bottom,,,,,0,471,471,631,,,0.9096663897929825,,,,,,,,,,2630.617446978188,None,2630.617446978188,None,j,1,None,None,1.256518805831547,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,0,-168,180,-168,0,0,180,180,f,abs,resp,freq_bottom,,,,,0,472,472,349,,,0.9476326537904187,,,,,,,,,,2633.24139696323,None,2633.24139696323,None,f,1,None,None,1.1284092085543307,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,0,-12,0,270,0,-168,0,None,present,inhibit,freq_bottom,,,,,0,473,473,998,,,0.7325033631795541,,,,,,,,,,2635.5125953499146,None,2635.5125953499146,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,12,0,12,0,0,0,180,270,180,j,present,resp,freq_bottom,,,,,0,474,474,539,,,0.8359555424685997,,,,,,,,,,2639.6665690692435,None,2639.6665690692435,None,j,1,None,None,0.9112958928135413,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,180,0,180,0,0,180,-12,180,180,j,abs,resp,freq_bottom,,,,,0,475,475,190,,,1.0320739453665515,,,,,,,,,,2641.820057115622,None,2641.820057115622,None,j,1,None,None,1.8138872251374778,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
